model,hf_id,max_seq_length,dim,encode_corpus_s,query_encode_ms,recall@5,recall@10,recall@20,mrr,ndcg@10
vietnamese-sbert,KeepItReal/vietnamese-sbert,256,768,502.18,17.84,0.28,0.32,0.32,0.0724,0.0796
multilingual-mpnet,paraphrase-multilingual-mpnet-base-v2,128,768,305.91,20.68,0.36,0.38,0.5,0.1879,0.197
multilingual-e5-small,intfloat/multilingual-e5-small,512,384,222.24,8.71,0.44,0.5,0.6,0.2332,0.2349
multilingual-e5-base,intfloat/multilingual-e5-base,512,768,929.95,23.8,0.3833,0.4958,0.5708,0.2421,0.4134
